"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
nut_sup,treatment,,radio,"Nutritional Supplements","0, No | 1, Yes | 98, Unknown",,,,,,,y,LH,,,,
treatment_tbl6,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr> <td style=""width: 100.021%; text-align: left;"">Has the patient had a gastrostomy placed? {gast_carrier_dic}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
milestones_tbl11,treatment,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 10px; border-color: #000000;"" border=""0""> <tbody> <tr style=""height: 10px;""> <td style=""width: 99.9359%; text-align: left; height: 10px;"">Gastrostomy placement Date: {gast_date} <span style=""font-weight: normal;"">([gast_age] y.o.)</span></td> </tr> <tr> <td style=""width: 99.9359%; text-align: left;"">Which type? {gast_carrier_type}</td> </tr> </tbody> </table></div>",,,,,,,"[gast_carrier_dic] = '1'",,,,,,
gast_carrier_type,treatment,,radio,"Gastrostomy placed Type","0, PEG | 1, RIG",,,,,,"[gast_carrier_dic] = '1'",y,LH,,,,
gast_date,treatment,,text,"Gastrostomy placement date",,,date_dmy,[basic_arm_1][dob],today,y,"[gast_carrier_dic] = '1'",y,LH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
gast_age,treatment,,calc,"Gastrostomy placement Age","round(datediff([gast_date],[basic_arm_1][dob],'y'),2)",,,,,,"[gast_carrier_dic] = '1'",,LV,,,," @HIDDEN"
medication_tbl1,als_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.063%; height: 21.6667px; background-color: #003b75;"" border=""0""> <tbody> <tr style=""height: 21.6667px;""> <td style=""width: 99.8117%; height: 21.6667px;""> <h5 style=""text-align: center;""><span style=""color: #ffffff; font-weight: normal;""><strong>ALS TREATMENT DATA</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.065%;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%;"">Type of treatment for ALS: {treat_type}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
treat_type,als_treatment_data,,radio,Treatment,"1, Riluzole|2, Edaravona|3, Tofersen|99, Other",,,,,,,y,RH,,,,
medication_tbl6,als_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%;"">Please specify the Riluzole posology: {treat_posology}</td> </tr> </tbody> </table></div>",,,,,,,"[treat_type] = '1'",,,,,,
treat_posology,als_treatment_data,,radio,Posology,"1, Tablets|2, Syrup|3, Bucodispensable",,,,,,"[treat_type] = '1'",y,RH,,,,
medication_tbl3,als_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%;"">Please specify the other type of treatment: {treat_type_other}</td> </tr> </tbody> </table></div>",,,,,,,"[treat_type] = '99'",,,,,,
treat_type_other,als_treatment_data,,text,"Other treatment",,,,,,,[treat_type]=99,y,RH,,,,
medication_tbl4,als_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%;"">Treatment start: {med_start_date} <span style=""font-weight: normal;"">([med_start_age] y.o)</span></td> </tr> <tr> <td style=""width: 99.7928%;"">Which is the treatment status? {treat_status}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
medication_tbl5,als_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 24.4px;"" border=""0""> <tbody> <tr style=""height: 24.4px;""> <td style=""width: 99.7928%; height: 24.4px;"">Treatment end: {med_end_date} <span style=""font-weight: normal;"">([med_end_age] y.o)</span></td> </tr> </tbody> </table></div>",,,,,,,"[treat_status] = '0'",,,,,,
med_start_date,als_treatment_data,,text,"Treatment Start",,,date_dmy,[basic_arm_1][dob],today,y,,y,RH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
med_start_age,als_treatment_data,,calc,"Treatment Start Age","round(datediff([med_start_date],[basic_arm_1][dob],'y'),2)",,,,,,,,,,,," @HIDDEN
@INSTANCETABLE_HIDE"
treat_status,als_treatment_data,,radio,"Treatment Status","0, Finished|1, Active",,,,,,,y,RH,,,," @DEFAULT=1"
tofersen_cycles_tbl2,als_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.031%; height: 19.0833px; background-color: #003b75;"" border=""0""><colgroup><col style=""width: 99.8584%;""></colgroup> <tbody> <tr style=""height: 19.0833px;""> <td> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>TOFERSEN CYCLES</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.031%; height: 24.6667px;"" border=""0""><colgroup><col style=""width: 99.8584%;""></colgroup> <tbody> <tr style=""height: 24.6667px;""> <td style=""text-align: center;""><span style=""color: #e03e2d;""><em>Please, ""Save and Stay"" before introducing new information</em></span></td> </tr> </tbody> </table></div>",,,,,,,"[treat_type] = '3'",,,,,," @INSTANCETABLE_REF=tofersen_ref_cycles @INSTANCETABLE=visits_arm_1:tofersen_cycles"
med_end_date,als_treatment_data,,text,"Treatment End",,,date_dmy,[basic_arm_1][dob],today,y,,y,RH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
med_end_age,als_treatment_data,,calc,"Treatment End Age","round(datediff([med_end_date],[basic_arm_1][dob],'y'),2)",,,,,,,,,,,," @HIDDEN
@INSTANCETABLE_HIDE"
tofersen_se_tbl1,als_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.031%;"" border=""0""><colgroup><col style=""width: 99.9862%;""></colgroup> <tbody> <tr> <td style=""width: 99.7928%;"">Has the patients experienced side effects with Tofersen? {tofersen_side_effects_dic}</td> </tr> </tbody> </table></div>",,,,,,,[treat_type]='3',,,,,,
tofersen_side_effects_dic,als_treatment_data,,yesno,"Presence of Tofersen side effects",,,,,,,,y,,,,," @INSTANCETABLE_HIDE"
tofersen_se_tbl2,als_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.031%; height: 19.0833px; background-color: #003b75;"" border=""0""><colgroup><col style=""width: 99.8584%;""></colgroup> <tbody> <tr style=""height: 19.0833px;""> <td> <h6 style=""text-align: left;""><span style=""color: #ffffff;""><strong>TOFERSEN SIDE EFFECTS</strong></span></h6> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.031%; height: 24.6667px;"" border=""0""><colgroup><col style=""width: 99.8584%;""></colgroup> <tbody> <tr style=""height: 24.6667px;""> <td style=""text-align: center;""><span style=""color: #e03e2d;""><em>Please, ""Save and Stay"" before introducing new information</em></span></td> </tr> </tbody> </table></div>",,,,,,,"[tofersen_side_effects_dic]='1' and [treat_type] = '3'",,,,,," @INSTANCETABLE_REF=tofersen_ref @INSTANCETABLE=visits_arm_1:tofersen_side_effects"
medication_tbl13,als_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 24.4px;"" border=""0""> <tbody> <tr style=""height: 24.4px;""> <td style=""width: 99.7928%; height: 24.4px;"">Reason for discontinuation: {treat_discont}</td> </tr> </tbody> </table></div>",,,,,,,"[treat_status] = '0'",,,,,,
treat_discont,als_treatment_data,,checkbox,"Reason for discontinuation?","1, Lack of efficacy | 2, Side effects | 3, Price | 4, Difficulty of access | 5, Patient decision | 99, Other",,,,,,,y,LV,,,,
medication_tbl2,other_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.063%; height: 21.6667px; background-color: #003b75;"" border=""0""> <tbody> <tr style=""height: 21.6667px;""> <td style=""width: 99.8117%; height: 21.6667px;""> <h5 style=""text-align: center;""><span style=""color: #ffffff; font-weight: normal;""><strong>SYMPTOMATIC TREATMENTS AND ALTERNATIVE THERAPIES</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.065%;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%;"">Type of treatment: {other_treat_type}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
other_treat_type,other_treatment_data,,radio,"Type of other treatment","1, Symptomatic treatment | 2, Alternative therapy/product",,,,,,,y,RH,,,,
medication_tbl9,other_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%;"">What symptomatic treatment: {symp_treat}</td> </tr> <tr> <td style=""width: 99.7928%;"">For what symptom? {type_symp_treat}</td> </tr> </tbody> </table></div>",,,,,,,[other_treat_type]=1,,,,,,
symp_treat,other_treatment_data,,text,"<div class=""rich-text-field-label""><p>Treatment RxNORM</p></div>",BIOPORTAL:RXNORM,,,,,,,y,RH,,,,
type_symp_treat,other_treatment_data,,checkbox,"Type of symptom","1, Insomnia | 2, Pain | 3, Sialorrhea | 4, Spasticity | 5, Depression | 6, Anxiety | 7, Fatigue | 8, Constipation | 9, Cognitive/behavioral changes | 99, Other",,,,,,,y,,,,," @COLUMNS=2"
other_type_symp_treat,other_treatment_data,,text,"Other symptom",,,,,,,"[type_symp_treat(99)] = '1'",y,RH,,,,
medication_tbl10,other_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 73.5417px;"" border=""0""> <tbody> <tr style=""height: 24.5139px;""> <td style=""width: 99.7928%;"">What alternative therapy/product: {prod_treat}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.7928%;"">Mode of administration: {prod_treat_type_dose}</td> </tr> <tr> <td style=""width: 99.7928%;"">Dose: {prod_treat_dose} Units: {prod_treat_unit_dose}</td> </tr> <tr style=""height: 24.5139px;""> <td style=""width: 99.7928%;"">Who recommended the use of this product? {prod_treat_recom}</td> </tr> </tbody> </table></div>",,,,,,,[other_treat_type]=2,,,,,,
prod_treat,other_treatment_data,,radio,"Alternative therapy/product:","1, Carnitine | 2, ISRIB | 3, Methylcobalamin (Vitamin B12) | 4, NAD/Nicotinamide | 5, Turmeric (Cúrcuma) | 6, Melatonin | 7, Omega-3 | 8, Ashwagandha | 9, Resveratrol | 10, Coenzyme Q10 | 11, Astaxanthin | 12, Creatine | 13, Magnesium | 14, Vitamin C | 15, Vitamin E | 16, Dextromethorphan/quinidine | 17, Alpha-lipoic acid | 99, Other",,,,,,,y,LV,,,,
prod_treat_other,other_treatment_data,,text,"Other alternative therapy/product:",,,,,,,[prod_treat]=99,y,RH,,,,
prod_treat_type_dose,other_treatment_data,,dropdown,"Type of dose of alternative therapy or product","1, Application (e.g., topical application) | 2, Capsule | 3, Pill / Tablet | 4, Syrup | 5, Puff (inhalation dose) | 6, Spray | 7, Patch | 8, Injection | 9, Sachet / Packet | 10, Powder | 11, Drop | 99, Other",,,,,,,y,LV,,,,
prod_treat_dose,other_treatment_data,,text,"Dose (number)",,,number,0,,,,y,RH,,,,
prod_treat_unit_dose,other_treatment_data,,dropdown,Units,"1, Milligrams (mg) | 2, Micrograms (mcg) | 3, Grams (g) | 4, Milliliters (mL) | 5, Tablespoon | 6, Drop | 7, International Units (IU)",,,,,,,y,RH,,,,
prod_treat_recom,other_treatment_data,,checkbox,"Who recommended the use of this product to the patient?","1, Neurologist | 2, Other healthcare professional | 3, Patient forums | 4, Scientific literature | 5, Internet | 99, Other",,,,,,,y,LV,,,,
medication_tbl12,other_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 24.5139px;"" border=""0""> <tbody> <tr style=""height: 24.5139px;""> <td style=""width: 99.7928%;"">Dose frequency: {other_treat_start_freq}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
other_treat_start_freq,other_treatment_data,,radio,"Dose Frequency","1, Daily (QD) | 2, Twice a day (BID) | 3, Three times a day (TID) | 4, Four times a day (QID) | 5, Every other day (QOD) | 6, Weekly (QS) | 7, Monthly (QM) | 8, As needed (PRN) | 99, Other",,,,,,,,LV,,,,
medication_tbl7,other_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%;"">Symptomatic treatment or alternative therapy start: {other_treat_start_date} <span style=""font-weight: normal;"">([other_treat_start_age] y.o)</span></td> </tr> <tr> <td style=""width: 99.7928%;"">Which is the current status? {other_treat_status}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
other_treat_start_date,other_treatment_data,,text,Start,,,date_dmy,[basic_arm_1][dob],today,y,,y,RH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
other_treat_start_age,other_treatment_data,,calc,"Start Age","round(datediff([other_treat_start_date],[basic_arm_1][dob],'y'),2)",,,,,,,,,,,," @HIDDEN
@INSTANCETABLE_HIDE"
other_treat_status,other_treatment_data,,radio,Status,"0, Finished | 1, Active",,,,,,,y,RH,,,," @DEFAULT=1"
medication_tbl8,other_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 24.4px;"" border=""0""> <tbody> <tr style=""height: 24.4px;""> <td style=""width: 99.7928%; height: 24.4px;"">Symptomatic treatment or alternative therapy end: {other_treat_end_date} <span style=""font-weight: normal;"">([other_treat_end_age] y.o)</span></td> </tr> </tbody> </table></div>",,,,,,,"[other_treat_status] = '0'",,,,,,
other_treat_end_date,other_treatment_data,,text,End,,,date_dmy,[basic_arm_1][dob],today,y,,y,RH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
other_treat_end_age,other_treatment_data,,calc,"End Age","round(datediff([other_treat_end_date],[basic_arm_1][dob],'y'),2)",,,,,,,,,,,," @HIDDEN
@INSTANCETABLE_HIDE"
medication_tbl11,other_treatment_data,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 24.4px;"" border=""0""> <tbody> <tr style=""height: 24.4px;""> <td style=""width: 99.7928%; height: 24.4px;"">Reason for discontinuation: {other_treat_discont}</td> </tr> </tbody> </table></div>",,,,,,,"[other_treat_status] = '0'",,,,,,
other_treat_discont,other_treatment_data,,checkbox,"Reason for discontinuation?","1, Lack of efficacy | 2, Side effects | 3, Price | 4, Difficulty of access | 5, Patient decision | 99, Other",,,,,,,y,LV,,,,
trails_tbl1,clinical_trials,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.063%; height: 21.6667px; background-color: #003b75;"" border=""0""> <tbody> <tr style=""height: 21.6667px;""> <td style=""width: 99.8117%; height: 21.6667px;""> <h5 style=""text-align: center;""><span style=""color: #ffffff; font-weight: normal;""><strong>CLINICAL TRIALS INFORMATION</strong></span></h5> </td> </tr> </tbody> </table> <table style=""border-collapse: collapse; width: 100.065%;"" border=""0""> <tbody> <tr> <td style=""width: 99.7928%;"">Please, provide the <a href=""https://www.clinicaltrialsregister.eu/ctr-search/search"" target=""_blank"" rel=""noopener"">EudraCT</a> code: {eudract_code}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
eudract_code,clinical_trials,,text,"EudraCT Code",,,,,,,,y,RH,,,,
trial_tbl4,clinical_trials,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 48.8px;"" border=""0""> <tbody> <tr style=""height: 24.4px;""> <td style=""width: 99.7928%; height: 24.4px;"">Date of enrolment in the clinical trial: {ct_start_date} <span style=""font-weight: normal;"">([ct_start_age] y.o)</span></td> </tr> <tr> <td style=""width: 99.7928%;"">Sudy group assignment (placebo/treatment): {ct_study_group}</td> </tr> <tr style=""height: 24.4px;""> <td style=""width: 99.7928%; height: 24.4px;"">Is the clinical trial active? {ct_status}</td> </tr> </tbody> </table></div>",,,,,,,,,,,,,
ct_status,clinical_trials,,radio,"Clinical Trial Status","0, Finished|1, Active",,,,,,,y,RH,,,," @DEFAULT=1"
trial_tbl5,clinical_trials,,descriptive,"<div class=""rich-text-field-label""><table style=""border-collapse: collapse; width: 100.065%; height: 24.4px;"" border=""0""> <tbody> <tr style=""height: 24.4px;""> <td style=""width: 99.7928%; height: 24.4px;"">End of participation in the Clinical Trial: {ct_end_date} <span style=""font-weight: normal;"">([ct_end_age] y.o)</span></td> </tr> </tbody> </table></div>",,,,,,,"[ct_status] = '0'",,,,,,
ct_start_date,clinical_trials,,text,"Trial Start",,,date_dmy,[basic_arm_1][dob],today,y,,y,RH,,,," @FORCE-MINMAX @PREVENT-FUTUREDATE"
